Sample_names,Samples_renames,EcoClusterID,fieldID,tagID,healthChart,Population,timeOfDay,depthOfBottominMeters,decimalLatitude,decimalLongitude,EcoLocationID_short,EcoReefID,EcoSiteID,EcoZoneID,EcoPlotID,eventEnteredBy,dayCollected,monthCollected,yearCollected,dateCollected
BLCH194B,BLCH194B,Offshore Central GBR,19,Spis_16,D1.5,OffshoreCentral,11:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back 1,Shallow,1,Zoe Meziere,2,4,2022,2/4/2022
BLCH195B,BLCH195B,Offshore Central GBR,12,Spis_16,D1.5,OffshoreCentral,11:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back 1,Shallow,4,Zoe Meziere,2,4,2022,2/4/2022
BLCH196B,BLCH196B,Offshore Central GBR,14,Spis_13,D3,OffshoreCentral,11:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back 1,Shallow,4,Zoe Meziere,2,4,2022,2/4/2022
BLCH197B,BLCH197B,Offshore Central GBR,27,Spis_10,D1.5,OffshoreCentral,11:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back 1,Shallow,4,Zoe Meziere,2,4,2022,2/4/2022
BLCH20A,BLCH20A,Offshore Central GBR,16,Spis_14,C1,OffshoreCentral,14:30:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back 1,Shallow,3,Zoe Meziere,28,3,2022,28/3/2022
BLCH22A,BLCH22A,Offshore Central GBR,16,Spis_15,C2,OffshoreCentral,16:30:00,5,-18.8192,147.66391,OCDA_FR1S,Davies,Front 1,Shallow,4,Zoe Meziere,28,3,2022,28/3/2022
BLCH31A,BLCH31A,Offshore Central GBR,4,Spis_17,C2,OffshoreCentral,16:30:00,5,-18.8192,147.66391,OCDA_FR1S,Davies,Front 1,Shallow,3,Zoe Meziere,28,3,2022,28/3/2022
BLCH32A,BLCH32A,Offshore Central GBR,7,Spis_15,C2,OffshoreCentral,16:30:00,5,-18.8192,147.66391,OCDA_FR1S,Davies,Front 1,Shallow,3,Zoe Meziere,28,3,2022,28/3/2022
BLCH35A,BLCH35A,Offshore Central GBR,5,Spis_9,C2,OffshoreCentral,10:00:00,13,-18.81966,147.66394,OCDA_FR1D,Davies,Front 1,Deep,4,Zoe Meziere,29,3,2022,29/3/2022
BLCH38A,BLCH38A,Offshore Central GBR,3,Spis_15,C1,OffshoreCentral,10:00:00,13,-18.81966,147.66394,OCDA_FR1D,Davies,Front 1,Deep,4,Zoe Meziere,29,3,2022,29/3/2022
BLCH41A,BLCH41A,Offshore Central GBR,18,Spis_18,D1,OffshoreCentral,10:00:00,13,-18.81966,147.66394,OCDA_FR1D,Davies,Front 1,Deep,4,Zoe Meziere,29,3,2022,29/3/2022
BLCH42A,BLCH42A,Offshore Central GBR,5,Spis_14,C4,OffshoreCentral,14:00:00,13,-18.80592,147.6688,OCDA_FL1D,Davies,Flank1,Deep,1,Zoe Meziere,29,3,2022,29/3/2022
BLCH46A,BLCH46A,Offshore Central GBR,16,Spis_38,C2,OffshoreCentral,14:00:00,13,-18.80592,147.6688,OCDA_FL1D,Davies,Flank1,Deep,1,Zoe Meziere,29,3,2022,29/3/2022
