EcoLocationID_short,Samples.renames,DIC_mean,DIN_mean,Edmean,FineSed_sd,NH4_mean,NH4_median,NO3_median,omega_ar_mean,temp_mean,temp_sd,Tp100,Tpmean,Turbidity_mean,Turbidity_sd,ubedmean,UonrootT100,UonrootT90,uWSL100,MonthlyRange,DistanceLand,Depth
CBHE_FR2D,Spis-CBHE-1284,23041.68208,0.495526275,499.8545871,1.65E-08,0.058202572,0.043768868,0.316285938,3.605606535,24.77666702,2.059984136,13.82916917,5.448138979,0.437551613,0.104145889,0.198000136,0.631110979,0.264556103,1.519669559,6.735427856,63239.81539,12
CBHE_FR2D,Spis-CBHE-1279,23041.68208,0.495526275,499.8545871,1.65E-08,0.058202572,0.043768868,0.316285938,3.605606535,24.77666702,2.059984136,13.82916917,5.448138979,0.437551613,0.104145889,0.198000136,0.631110979,0.264556103,1.519669559,6.735427856,63239.81539,12
CBHE_FR2D,Spis-CBHE-1287,23041.68208,0.495526275,499.8545871,1.65E-08,0.058202572,0.043768868,0.316285938,3.605606535,24.77666702,2.059984136,13.82916917,5.448138979,0.437551613,0.104145889,0.198000136,0.631110979,0.264556103,1.519669559,6.735427856,63239.81539,12
CBHE_FR2S,Spis-CBHE-1289,23040.31204,0.486071705,414.4879523,1.63E-08,0.055209449,0.043388996,0.309064984,3.605652265,24.77614811,2.059657583,13.82926125,5.654698637,0.438017356,0.104061255,0.28388188,0.635327935,0.278997567,1.625556734,6.748548508,63261.90752,5
CBLM_FL2S,Spis-CBLM-1261,22950.07571,0.747267413,631.179362,3.10E-10,0.079596006,0.061923627,0.500350833,3.673604229,24.34964217,1.658190963,13.82921516,5.998352104,0.496581483,0.093804879,0.303429329,0.700129171,0.293801973,1.792928722,5.16626358,56227.62353,5
CBLM_FL2S,Spis-CBLM-1274,22950.07571,0.747267413,631.179362,3.10E-10,0.079596006,0.061923627,0.500350833,3.673604229,24.34964217,1.658190963,13.82921516,5.998352104,0.496581483,0.093804879,0.303429329,0.700129171,0.293801973,1.792928722,5.16626358,56227.62353,5
CBLM_FL2S,Spis-CBLM-1275,22950.07571,0.747267413,631.179362,3.10E-10,0.079596006,0.061923627,0.500350833,3.673604229,24.34964217,1.658190963,13.82921516,5.998352104,0.496581483,0.093804879,0.303429329,0.700129171,0.293801973,1.792928722,5.16626358,56227.62353,5
CBLM_FL2S,Spis-CBLM-1271,22950.07571,0.747267413,631.179362,3.10E-10,0.079596006,0.061923627,0.500350833,3.673604229,24.34964217,1.658190963,13.82921516,5.998352104,0.496581483,0.093804879,0.303429329,0.700129171,0.293801973,1.792928722,5.16626358,56227.62353,5
CBLM_FL2S,Spis-CBLM-1259,22950.07571,0.747267413,631.179362,3.10E-10,0.079596006,0.061923627,0.500350833,3.673604229,24.34964217,1.658190963,13.82921516,5.998352104,0.496581483,0.093804879,0.303429329,0.700129171,0.293801973,1.792928722,5.16626358,56227.62353,5
CBLM_FL2S,Spis-CBLM-1262,22950.07571,0.747267413,631.179362,3.10E-10,0.079596006,0.061923627,0.500350833,3.673604229,24.34964217,1.658190963,13.82921516,5.998352104,0.496581483,0.093804879,0.303429329,0.700129171,0.293801973,1.792928722,5.16626358,56227.62353,5
CBLM_FL2S,Spis-CBLM-1264,22950.07571,0.747267413,631.179362,3.10E-10,0.079596006,0.061923627,0.500350833,3.673604229,24.34964217,1.658190963,13.82921516,5.998352104,0.496581483,0.093804879,0.303429329,0.700129171,0.293801973,1.792928722,5.16626358,56227.62353,5
CBLM_LA1S,Spis-CBLM-1239,22936.33335,1.123624096,53.31825087,1.19E-10,0.05535757,0.050176084,0.570536673,3.681980841,24.35025718,1.667280559,11.63979859,4.021359735,0.51963579,0.105900903,0.041893637,0.684983697,0.311868184,0.705953028,5.194805145,59296.63059,5
OCCH_BA1S,BLCH157A,23005.80777,0.40332502,453.8174201,3.67E-13,0.0644958,0.038004741,0.228120312,3.737719873,26.73279436,1.91493995,15.39406649,5.856824557,0.294557428,0.128421379,0.178304179,0.480998496,0.167765924,1.780318247,6.779472351,79192.18337,5
OCCH_BA1S,BLCH145A,23005.80777,0.40332502,453.8174201,3.67E-13,0.0644958,0.038004741,0.228120312,3.737719873,26.73279436,1.91493995,15.39406649,5.856824557,0.294557428,0.128421379,0.178304179,0.480998496,0.167765924,1.780318247,6.779472351,79192.18337,5
OCCH_BA1S,BLCH154A,23005.80777,0.40332502,453.8174201,3.67E-13,0.0644958,0.038004741,0.228120312,3.737719873,26.73279436,1.91493995,15.39406649,5.856824557,0.294557428,0.128421379,0.178304179,0.480998496,0.167765924,1.780318247,6.779472351,79192.18337,5
OCCH_BA1S,Spis-OCCH-668,23005.80777,0.40332502,453.8174201,3.67E-13,0.0644958,0.038004741,0.228120312,3.737719873,26.73279436,1.91493995,15.39406649,5.856824557,0.294557428,0.128421379,0.178304179,0.480998496,0.167765924,1.780318247,6.779472351,79192.18337,5
